Study,Modality,Post_BDNF_mean,Pre_BDNF_mean,Post_BDNF_SD,Pre_BDNF_SD,Sample_Type
"Babaei et al, 2014a",Aerobic,1215,775,324.39999999999998,335,
"Babaei et al, 2014b",Aerobic,1197.9000000000001,807.4,365.1,350,
"Bos et al, 2011",Anaerobic,20668.3,18066.7,8666.7000000000007,8666.7000000000007,
"Brunelli et al, 2012",Aerobic,1280,940,315,115,
"Castellano & White, 2008",Anaerobic,15940,15000,15383,12420.5,
"Cho et al, 2012",Anaerobic,37800,22944.5,2300,9116.6,
"Church et al, 2016a",Anaerobic,2000,1200,1750,1000,
"Church et al, 2016b",Anaerobic,2620,1100,1980,800,
"Coelho et al, 2014",Anaerobic,411,353.3,172.8,169.9,
"Correia et al, 2010",Anaerobic,2261,2464,1493,1543,
"Currie et al, 2009",Aerobic,15700,6970,3500,4020,
"Ferris et al, 2007",Anaerobic,22880,17620,8210,6894,
"Gapin et al, 2015",Anaerobic,1016.3,1028.3,224.2,275.10000000000002,
"Gilder et al, 2014",Anaerobic,15100,11400,17265,23979.200000000001,
"Goda et al, 2013",Aerobic,15900,14900,5600,5000,
"Goekint et al, 2008",Aerobic,24187,16950,6430,3250,
"Goekint et al, 2010",Anaerobic,15760,15310,4160,3280,
"Goekint et al, 2011",Aerobic,14700,12000,2490,1575,
"Gold et al, 2003",Anaerobic,6740,4717.2,5000,2199.4,
"Griffin et al, 2011",Anaerobic,1294,974.7,820.5,741.6,
"Heyman et al, 2012",Aerobic,14400,11950,2285,2285,
"Hötting et al, 2016a",Anaerobic,24460,20720,4520,5000,
"Hötting et al, 2016b",Anaerobic,19167,19333,4420,4000,
"Hwang et al, 2016",Aerobic,25240,21666,6230,5079,
"Laske et al, 2010",Anaerobic,31000,30500,8100,6900,
"Lee et al, 2014",Anaerobic,29100,23200,5000,5600,
"Mang et al, 2014",Anaerobic,11918,5258,6404,3258,
"Matthews et al, 2009",Anaerobic,30480,24435,6730,5020,
"McDonnell et al, 2013",Anaerobic,29654.9,30573.599999999999,25572.5,23263.5,
"Muders et al, 2016",Aerobic,16657.900000000001,12958.9,5148.1000000000004,4039.5,
"Pareja-Galeano et al, 2015",Anaerobic,3540,3780,1860,1200,
"Piepmeier, 2015",Aerobic,963.9,657.9,1557.4,870.4,
"Rasmussen et al, 2009",Anaerobic,1172,442,968,272,
"Rojas Vega et al, 2006",Anaerobic,89300,60800,26000,23000,
"Rojas Vega et al, 2010",Aerobic,8440,5900,2920,2340,
"Rojas Vega et al, 2011",Anaerobic,14460,13333,6130,5460,
"Rojas Vega et al, 2012",Anaerobic,10625,7125,3250,2875,
"Saucedo Marquez et al, 2015",Anaerobic,10150,6000,3625,2222,
"Schild et al, 2016",Aerobic,0.56999999999999995,0.44,5.8999999999999997E-2,8.8999999999999996E-2,
"Schmidt-Kassow et al, 2012",Anaerobic,32424.6,32002.9,7515.4,9724.6,
"Schmidt-Kassow et al, 2013",Anaerobic,31431.5,30181.5,9203.7999999999993,9422.4,
"Schmidt-Kassow et al, 2014",Anaerobic,37531,33071,7464,7355,
"Schmolesky et al, 2013a",Anaerobic,30352,23002,13784,6625,
"Schmolesky et al, 2013b",Anaerobic,30527,24830,8443,6437,
"Schmolesky et al, 2013c",Anaerobic,30977,23855,20324,8584,
"Schmolesky et al, 2013d",Anaerobic,38885,28549,12195,4366,
"Schuch et al, 2015",Aerobic,190.7,222,1700.4,2031.6,
"Seifert et al, 2010",Anaerobic,3108.3,1958.3,2392.1999999999998,1918.6,
"Slusher et al, 2015",Aerobic,1949.2,1352.5,815.5,793.6,
"Ströhle et al, 2010",Aerobic,9680,10640,10500,8830,
"Tang et al, 2008",Anaerobic,34500,30890,8870,8260,
"Tonoli et al, 2015",Aerobic,15050,11920,4000,3700,
"Tsai et al, 2014",Aerobic,104,81.8,83.5,84.9,
"Tsai et al, 2016",Aerobic,71,46.1,72,39,
"Van Cutsem et al, 2015",Anaerobic,26500,21800,2100,1300,
"Wahl et al, 2015",Aerobic,27750,21640,5630,4490,
"Walsh et al, 2016",Aerobic,25111.5,22700,5000,5000,
"Williams & McCurdy, 2012",Anaerobic,570,500,40,60,
"Winter et al, 2007",Anaerobic,1163,1040,338,239,
"Yarrow et al, 2010",Aerobic,30853,23304,10350,8206,
"Zoladz et al, 2008",Aerobic,10.9,10.3,8.3000000000000007,5,
,Anaerobic,,,,,
